It took 1.1185 seconds to compute the Mandelbrot set
It took 0.2712 seconds to dump the image to a file
         1255714 function calls (1235126 primitive calls) in 1.924 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     29/2    0.000    0.000    1.856    0.928 text.py:926(get_window_extent)
     47/2    0.001    0.000    1.856    0.928 text.py:358(_get_layout)
        1    1.118    1.118    1.118    1.118 mandelbrot_cpu.py:7(simple_mandelbrot)
       35    0.001    0.000    0.606    0.017 __init__.py:1(<module>)
    379/9    0.001    0.000    0.500    0.056 <frozen importlib._bootstrap>:1349(_find_and_load)
    375/9    0.001    0.000    0.500    0.056 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    361/9    0.001    0.000    0.499    0.055 <frozen importlib._bootstrap>:911(_load_unlocked)
   886/13    0.000    0.000    0.499    0.038 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    315/8    0.000    0.000    0.498    0.062 <frozen importlib._bootstrap_external>:1020(exec_module)
   427/25    0.000    0.000    0.425    0.017 {built-in method builtins.__import__}
   415/90    0.000    0.000    0.424    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.288    0.288 pyplot.py:1(<module>)
1217/1132    0.010    0.000    0.231    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.178    0.178 pyplot.py:872(figure)
        1    0.000    0.000    0.178    0.178 pyplot.py:549(new_figure_manager)
      106    0.002    0.000    0.174    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.171    0.002 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.163    0.163 backend_bases.py:3497(new_figure_manager)
        1    0.000    0.000    0.163    0.163 backend_bases.py:3506(new_figure_manager_given_figure)
        1    0.000    0.000    0.163    0.163 backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.163    0.163 _backend_tk.py:528(create_with_canvas)
      120    0.000    0.000    0.136    0.001 artist.py:1832(kwdoc)
        1    0.000    0.000    0.135    0.135 __init__.py:2439(__init__)
        1    0.135    0.135    0.135    0.135 {built-in method _tkinter.create}
        1    0.000    0.000    0.134    0.134 figure.py:1(<module>)
        1    0.000    0.000    0.122    0.122 colorbar.py:1(<module>)
      120    0.003    0.000    0.114    0.001 artist.py:1593(pprint_setters)
     4409    0.007    0.000    0.093    0.000 artist.py:1461(get_valid_values)
    101/5    0.000    0.000    0.076    0.015 text.py:65(_get_text_metrics_with_cache)
        1    0.000    0.000    0.076    0.076 rcsetup.py:1(<module>)
        3    0.000    0.000    0.076    0.025 text.py:73(_get_text_metrics_with_cache_impl)
        1    0.000    0.000    0.073    0.073 contour.py:1(<module>)
     7555    0.041    0.000    0.073    0.000 inspect.py:891(cleandoc)
  361/352    0.000    0.000    0.071    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
